epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
159,5568.58,1.31444,0.73126,1.22173,0.88924,0.92672,0.96277,0.62524,1.25187,0.61671,1.23939,0.0068716,0.0068716,0.0068716
160,5603.25,1.34068,0.73872,1.23789,0.86241,0.94328,0.95997,0.62598,1.24522,0.60832,1.23756,0.0068518,0.0068518,0.0068518
161,5639.2,1.31807,0.72433,1.22858,0.86247,0.9403,0.96073,0.63117,1.24443,0.61491,1.2329,0.006832,0.006832,0.006832
162,5674.29,1.33561,0.72704,1.23442,0.87288,0.93831,0.96088,0.61387,1.26674,0.62015,1.24603,0.0068122,0.0068122,0.0068122
163,5709.35,1.32279,0.73781,1.21013,0.86547,0.94736,0.96053,0.62886,1.24511,0.60761,1.23489,0.0067924,0.0067924,0.0067924
164,5744.97,1.33269,0.73258,1.24026,0.8973,0.93234,0.96323,0.62697,1.2444,0.60502,1.23383,0.0067726,0.0067726,0.0067726
165,5779.88,1.33479,0.73368,1.21908,0.89398,0.93632,0.96571,0.62837,1.24478,0.60707,1.23269,0.0067528,0.0067528,0.0067528
166,5815.44,1.32745,0.73589,1.23624,0.89207,0.93134,0.96221,0.62155,1.24175,0.61151,1.23268,0.006733,0.006733,0.006733
167,5850.74,1.3171,0.73894,1.22733,0.88509,0.93134,0.96302,0.63105,1.23503,0.60514,1.22656,0.0067132,0.0067132,0.0067132
168,5887.25,1.33735,0.73735,1.23275,0.89363,0.91841,0.96014,0.63186,1.22943,0.61048,1.22365,0.0066934,0.0066934,0.0066934
169,5922.52,1.31159,0.73991,1.23095,0.90033,0.92582,0.96138,0.62741,1.25661,0.61341,1.2436,0.0066736,0.0066736,0.0066736
170,5956.69,1.33535,0.74887,1.23487,0.88914,0.92637,0.96076,0.6265,1.24504,0.61964,1.23152,0.0066538,0.0066538,0.0066538
