epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
109,5198.12,1.18379,0.61556,1.15967,0.88288,0.92537,0.95932,0.61857,1.26971,0.59757,1.2633,0.0078616,0.0078616,0.0078616
110,5246.19,1.2059,0.61664,1.1664,0.89626,0.91741,0.95647,0.63083,1.24957,0.57659,1.24463,0.0078418,0.0078418,0.0078418
111,5292.7,1.20852,0.61845,1.16371,0.90909,0.92736,0.96457,0.6342,1.24822,0.56434,1.24311,0.007822,0.007822,0.007822
112,5339.57,1.18043,0.59999,1.15274,0.8724,0.95244,0.96104,0.63278,1.22472,0.57702,1.23028,0.0078022,0.0078022,0.0078022
113,5385.79,1.18121,0.61141,1.15939,0.8898,0.92395,0.95761,0.61079,1.29238,0.60167,1.27573,0.0077824,0.0077824,0.0077824
114,5434.95,1.17762,0.60063,1.14818,0.89922,0.92336,0.95153,0.62222,1.26171,0.57791,1.24951,0.0077626,0.0077626,0.0077626
115,5483.68,1.15387,0.59783,1.14213,0.89605,0.93433,0.95307,0.62851,1.23619,0.56552,1.24047,0.0077428,0.0077428,0.0077428
116,5534.35,1.17137,0.59784,1.14415,0.87126,0.94328,0.95012,0.59063,1.34437,0.59063,1.31493,0.007723,0.007723,0.007723
117,5582.53,1.1664,0.59766,1.15531,0.89207,0.94627,0.96418,0.63092,1.24363,0.55937,1.23885,0.0077032,0.0077032,0.0077032
118,5630.81,1.17884,0.60925,1.15961,0.88792,0.94229,0.96344,0.62555,1.25738,0.58866,1.2534,0.0076834,0.0076834,0.0076834
119,5681.75,1.1583,0.59638,1.13237,0.90018,0.94428,0.96213,0.6369,1.22844,0.54808,1.23052,0.0076636,0.0076636,0.0076636
120,5730.21,1.17002,0.59166,1.16443,0.89818,0.9204,0.95958,0.61961,1.27266,0.58127,1.26367,0.0076438,0.0076438,0.0076438
121,5779.75,1.17253,0.60544,1.13768,0.8782,0.9403,0.96047,0.63967,1.2282,0.56779,1.22936,0.007624,0.007624,0.007624
122,5831.23,1.15671,0.59597,1.14248,0.89784,0.94527,0.96037,0.63624,1.2223,0.55496,1.2281,0.0076042,0.0076042,0.0076042
123,5879.64,1.17488,0.60521,1.15775,0.89833,0.94075,0.96111,0.63799,1.22223,0.55542,1.22784,0.0075844,0.0075844,0.0075844
124,5927.86,1.16324,0.59793,1.15702,0.89402,0.94006,0.96433,0.64895,1.2185,0.55072,1.22214,0.0075646,0.0075646,0.0075646
125,5978.7,1.15613,0.58787,1.1484,0.9008,0.94627,0.96247,0.63482,1.24146,0.57071,1.24354,0.0075448,0.0075448,0.0075448
126,6027.11,1.14486,0.58455,1.13795,0.88637,0.93917,0.96092,0.63703,1.22659,0.56073,1.22805,0.007525,0.007525,0.007525
127,6075.87,1.15738,0.58305,1.14688,0.90059,0.94646,0.96478,0.63274,1.23241,0.55069,1.23293,0.0075052,0.0075052,0.0075052
